sample_id;OD_raw;OD_adj;plate;col;row;date;investigator
cont_pos;1.085826147;1.014672957;1;1;A;28/10/2015;Amandine Gamble
cont_pos;0.991760882;0.920607692;1;1;B;28/10/2015;Amandine Gamble
cont_neg;0.070997359;-0.000155831;1;1;C;28/10/2015;Amandine Gamble
cont_neg;0.071309021;0.000155831;1;1;D;28/10/2015;Amandine Gamble
ST A;0.043831004;-0.027322186;1;1;E;28/10/2015;Amandine Gamble
ST B;0.179115758;0.107962568;1;1;F;28/10/2015;Amandine Gamble
ST C;0.531680497;0.460527308;1;1;G;28/10/2015;Amandine Gamble
ST D;1.371330179;1.30017699;1;1;H;28/10/2015;Amandine Gamble
HOR-2015-KT-005;3.491248324;3.420095134;1;2;A;28/10/2015;Amandine Gamble
HOR-2015-KT-056;0.291513625;0.220360436;1;2;B;28/10/2015;Amandine Gamble
HOR-2015-KT-015;0.201346808;0.130193618;1;2;C;28/10/2015;Amandine Gamble
HOR-2015-KT-100;0.530645324;0.459492135;1;2;D;28/10/2015;Amandine Gamble
HOR-2015-KT-049;0.387701507;0.316548317;1;2;E;28/10/2015;Amandine Gamble
HOR-2015-KT-044;0.429489354;0.358336164;1;2;F;28/10/2015;Amandine Gamble
HOR-2015-KT-034;0.644231483;0.573078293;1;2;G;28/10/2015;Amandine Gamble
6126273;0.837215651;0.766062461;1;2;H;28/10/2015;Amandine Gamble
HOR-2015-KT-005;3.34822056;3.27706737;1;3;A;28/10/2015;Amandine Gamble
HOR-2015-KT-056;0.342394888;0.271241698;1;3;B;28/10/2015;Amandine Gamble
HOR-2015-KT-015;0.317744092;0.246590902;1;3;C;28/10/2015;Amandine Gamble
HOR-2015-KT-100;0.484117009;0.412963819;1;3;D;28/10/2015;Amandine Gamble
HOR-2015-KT-049;0.368025824;0.296872635;1;3;E;28/10/2015;Amandine Gamble
HOR-2015-KT-044;0.59007725;0.518924061;1;3;F;28/10/2015;Amandine Gamble
HOR-2015-KT-034;1.626127141;1.554973951;1;3;G;28/10/2015;Amandine Gamble
6126273;0.647121904;0.575968714;1;3;H;28/10/2015;Amandine Gamble
HOR-2015-KT-028;3.432356285;3.361203095;1;4;A;28/10/2015;Amandine Gamble
HOR-2015-KT-055;0.533402683;0.462249494;1;4;B;28/10/2015;Amandine Gamble
HOR-2015-KT-014;0.375186498;0.304033309;1;4;C;28/10/2015;Amandine Gamble
HOR-2015-KT-091;0.820759955;0.749606765;1;4;D;28/10/2015;Amandine Gamble
HOR-2015-KT-050;0.238756861;0.167603671;1;4;E;28/10/2015;Amandine Gamble
HOR-2015-KT-054;0.392318949;0.321165759;1;4;F;28/10/2015;Amandine Gamble
HOR-2015-KT-033;0.564790596;0.493637406;1;4;G;28/10/2015;Amandine Gamble
6126276;0.59898972;0.52783653;1;4;H;28/10/2015;Amandine Gamble
HOR-2015-KT-028;3.221019026;3.149865836;1;5;A;28/10/2015;Amandine Gamble
HOR-2015-KT-055;0.744423627;0.673270438;1;5;B;28/10/2015;Amandine Gamble
HOR-2015-KT-014;0.658826873;0.587673683;1;5;C;28/10/2015;Amandine Gamble
HOR-2015-KT-091;0.719197619;0.648044429;1;5;D;28/10/2015;Amandine Gamble
HOR-2015-KT-050;0.450598391;0.379445202;1;5;E;28/10/2015;Amandine Gamble
HOR-2015-KT-054;0.350793746;0.279640556;1;5;F;28/10/2015;Amandine Gamble
HOR-2015-KT-033;0.870089287;0.798936098;1;5;G;28/10/2015;Amandine Gamble
6126276;0.96186803;0.89071484;1;5;H;28/10/2015;Amandine Gamble
HOR-2015-KT-010;0.413157185;0.342003995;1;6;A;28/10/2015;Amandine Gamble
HOR-2015-KT-042;0.313264236;0.242111046;1;6;B;28/10/2015;Amandine Gamble
HOR-2015-KT-016;0.527907322;0.456754132;1;6;C;28/10/2015;Amandine Gamble
HOR-2015-KT-092;0.455499815;0.384346625;1;6;D;28/10/2015;Amandine Gamble
HOR-2015-KT-074;0.268373258;0.197220069;1;6;E;28/10/2015;Amandine Gamble
HOR-2015-KT-076;0.570374071;0.499220881;1;6;F;28/10/2015;Amandine Gamble
4186276;2.722508927;2.651355737;1;6;G;28/10/2015;Amandine Gamble
6126283;0.367129845;0.295976655;1;6;H;28/10/2015;Amandine Gamble
HOR-2015-KT-010;0.560884879;0.489731689;1;7;A;28/10/2015;Amandine Gamble
HOR-2015-KT-042;0.548807994;0.477654804;1;7;B;28/10/2015;Amandine Gamble
HOR-2015-KT-016;0.807554973;0.736401783;1;7;C;28/10/2015;Amandine Gamble
HOR-2015-KT-092;0.652166857;0.581013667;1;7;D;28/10/2015;Amandine Gamble
HOR-2015-KT-074;0.44629403;0.37514084;1;7;E;28/10/2015;Amandine Gamble
HOR-2015-KT-076;0.421455913;0.350302723;1;7;F;28/10/2015;Amandine Gamble
4186276;2.918540576;2.847387386;1;7;G;28/10/2015;Amandine Gamble
6126283;0.636705434;0.565552244;1;7;H;28/10/2015;Amandine Gamble
HOR-2015-KT-011;1.115307852;1.044154662;1;8;A;28/10/2015;Amandine Gamble
HOR-2015-KT-038;0.47824842;0.407095231;1;8;B;28/10/2015;Amandine Gamble
HOR-2015-KT-019;0.363130717;0.291977528;1;8;C;28/10/2015;Amandine Gamble
HOR-2015-KT-094;0.383624643;0.312471453;1;8;D;28/10/2015;Amandine Gamble
HOR-2015-KT-066;0.318462562;0.247309372;1;8;E;28/10/2015;Amandine Gamble
HOR-2015-KT-077;1.6235535;1.55240031;1;8;F;28/10/2015;Amandine Gamble
4186284;2.995318415;2.924165225;1;8;G;28/10/2015;Amandine Gamble
HOR-2015-KT-088;0.417720105;0.346566916;1;9;H;28/10/2015;Amandine Gamble
HOR-2015-KT-011;1.201546527;1.130393337;1;9;A;28/10/2015;Amandine Gamble
HOR-2015-KT-038;0.781763719;0.710610529;1;9;B;28/10/2015;Amandine Gamble
HOR-2015-KT-019;0.522513549;0.451360359;1;9;C;28/10/2015;Amandine Gamble
HOR-2015-KT-094;0.611745567;0.540592377;1;9;D;28/10/2015;Amandine Gamble
HOR-2015-KT-066;0.448502933;0.377349743;1;9;E;28/10/2015;Amandine Gamble
HOR-2015-KT-077;1.561447955;1.490294765;1;9;F;28/10/2015;Amandine Gamble
4186284;2.55792489;2.4867717;1;9;G;28/10/2015;Amandine Gamble
HOR-2015-KT-088;0.616872381;0.545719191;1;10;H;28/10/2015;Amandine Gamble
HOR-2015-KT-052;0.600247881;0.529094692;1;10;A;28/10/2015;Amandine Gamble
HOR-2015-KT-004;0.3421532;0.27100001;1;10;B;28/10/2015;Amandine Gamble
HOR-2015-KT-002;0.460047774;0.388894585;1;10;C;28/10/2015;Amandine Gamble
HOR-2015-KT-099;0.321715346;0.250562156;1;10;D;28/10/2015;Amandine Gamble
HOR-2015-KT-075;0.29976832;0.22861513;1;10;E;28/10/2015;Amandine Gamble
HOR-2015-KT-082;0.349199148;0.278045958;1;10;F;28/10/2015;Amandine Gamble
6126285;0.342150643;0.270997454;1;10;G;28/10/2015;Amandine Gamble
HOR-2015-KT-031;0.752776987;0.681623797;1;11;H;28/10/2015;Amandine Gamble
HOR-2015-KT-052;0.649017266;0.577864076;1;11;A;28/10/2015;Amandine Gamble
HOR-2015-KT-004;0.542969315;0.471816126;1;11;B;28/10/2015;Amandine Gamble
HOR-2015-KT-002;0.515058219;0.443905029;1;11;C;28/10/2015;Amandine Gamble
HOR-2015-KT-099;0.3390539;0.26790071;1;11;D;28/10/2015;Amandine Gamble
HOR-2015-KT-075;0.282318815;0.211165625;1;11;E;28/10/2015;Amandine Gamble
HOR-2015-KT-082;0.511939912;0.440786722;1;11;F;28/10/2015;Amandine Gamble
6126285;0.623573051;0.552419861;1;11;G;28/10/2015;Amandine Gamble
HOR-2015-KT-031;0.986149032;0.914995842;1;12;H;28/10/2015;Amandine Gamble
HOR-2015-KT-029;0.446300529;0.375147339;1;12;A;28/10/2015;Amandine Gamble
HOR-2015-KT-029;0.689952808;0.618799618;1;12;B;28/10/2015;Amandine Gamble
HOR-2015-KT-032;1.340027293;1.268874103;1;12;C;28/10/2015;Amandine Gamble
HOR-2015-KT-032;1.377304972;1.306151782;1;12;D;28/10/2015;Amandine Gamble
HOR-2015-KT-085;2.270879777;2.199726587;1;12;E;28/10/2015;Amandine Gamble
HOR-2015-KT-085;1.861568079;1.790414889;1;12;F;28/10/2015;Amandine Gamble
HOR-2015-KT-087;0.472691116;0.401537926;1;12;G;28/10/2015;Amandine Gamble
HOR-2015-KT-087;0.380303936;0.309150746;1;12;H;28/10/2015;Amandine Gamble
cont_pos;1.01300605;0.937343902;2;1;A;28/10/2015;Amandine Gamble
cont_pos;1.068743854;0.993081706;2;1;B;28/10/2015;Amandine Gamble
cont_neg;0.073797885;-0.001864264;2;1;C;28/10/2015;Amandine Gamble
cont_neg;0.077526412;0.001864264;2;1;D;28/10/2015;Amandine Gamble
ST A;0.043625865;-0.032036283;2;1;E;28/10/2015;Amandine Gamble
ST B;0.179975142;0.104312994;2;1;F;28/10/2015;Amandine Gamble
ST C;0.57479436;0.499132211;2;1;G;28/10/2015;Amandine Gamble
ST D;1.229174653;1.153512505;2;1;H;28/10/2015;Amandine Gamble
HOR-2015-KT-006;2.469408094;2.393745946;2;2;A;28/10/2015;Amandine Gamble
HOR-2015-KT-069;1.583140359;1.50747821;2;2;B;28/10/2015;Amandine Gamble
HOR-2015-KT-023;0.803982847;0.728320698;2;2;C;28/10/2015;Amandine Gamble
HOR-2015-KT-021;2.15702667;2.081364522;2;2;D;28/10/2015;Amandine Gamble
HOR-2015-KT-073;0.711007888;0.63534574;2;2;E;28/10/2015;Amandine Gamble
HOR-2015-KT-047;1.054626253;0.978964105;2;2;F;28/10/2015;Amandine Gamble
6126272;3.411630773;3.335968624;2;2;G;28/10/2015;Amandine Gamble
4186270;2.669495728;2.59383358;2;2;H;28/10/2015;Amandine Gamble
HOR-2015-KT-006;1.823233047;1.747570899;2;3;A;28/10/2015;Amandine Gamble
HOR-2015-KT-069;0.688732242;0.613070094;2;3;B;28/10/2015;Amandine Gamble
HOR-2015-KT-023;0.412394841;0.336732692;2;3;C;28/10/2015;Amandine Gamble
HOR-2015-KT-021;0.454351663;0.378689514;2;3;D;28/10/2015;Amandine Gamble
HOR-2015-KT-073;0.216957063;0.141294915;2;3;E;28/10/2015;Amandine Gamble
HOR-2015-KT-047;0.341979316;0.266317168;2;3;F;28/10/2015;Amandine Gamble
6126272;0.602381038;0.526718889;2;3;G;28/10/2015;Amandine Gamble
4186270;3.133748057;3.058085908;2;3;H;28/10/2015;Amandine Gamble
HOR-2015-KT-065;1.98553057;1.909868421;2;4;A;28/10/2015;Amandine Gamble
HOR-2015-KT-010;0.433066442;0.357404294;2;4;B;28/10/2015;Amandine Gamble
HOR-2015-KT-018;0.340893891;0.265231743;2;4;C;28/10/2015;Amandine Gamble
HOR-2015-KT-095;0.265275237;0.189613089;2;4;D;28/10/2015;Amandine Gamble
HOR-2015-KT-071;0.234312001;0.158649853;2;4;E;28/10/2015;Amandine Gamble
HOR-2015-KT-058;0.263846435;0.188184287;2;4;F;28/10/2015;Amandine Gamble
6126291;0.254616584;0.178954436;2;4;G;28/10/2015;Amandine Gamble
4186274;0.724037016;0.648374868;2;4;H;28/10/2015;Amandine Gamble
HOR-2015-KT-065;2.019317281;1.943655132;2;5;A;28/10/2015;Amandine Gamble
HOR-2015-KT-010;0.506219617;0.430557469;2;5;B;28/10/2015;Amandine Gamble
HOR-2015-KT-018;0.460464742;0.384802594;2;5;C;28/10/2015;Amandine Gamble
HOR-2015-KT-095;0.372336066;0.296673918;2;5;D;28/10/2015;Amandine Gamble
HOR-2015-KT-071;0.311847412;0.236185264;2;5;E;28/10/2015;Amandine Gamble
HOR-2015-KT-058;0.260675782;0.185013633;2;5;F;28/10/2015;Amandine Gamble
6126291;0.323105983;0.247443835;2;5;G;28/10/2015;Amandine Gamble
4186274;0.919179741;0.843517593;2;5;H;28/10/2015;Amandine Gamble
HOR-2015-KT-009;0.375791261;0.300129113;2;6;A;28/10/2015;Amandine Gamble
HOR-2015-KT-039;0.262526779;0.186864631;2;6;B;28/10/2015;Amandine Gamble
HOR-2015-KT-011;0.390000891;0.314338742;2;6;C;28/10/2015;Amandine Gamble
HOR-2015-KT-037;1.073505286;0.997843137;2;6;D;28/10/2015;Amandine Gamble
HOR-2015-KT-070;0.192001837;0.116339688;2;6;E;28/10/2015;Amandine Gamble
HOR-2015-KT-078;0.319467644;0.243805495;2;6;F;28/10/2015;Amandine Gamble
6126278;0.190929233;0.115267084;2;6;G;28/10/2015;Amandine Gamble
4186269;2.356919666;2.281257518;2;6;H;28/10/2015;Amandine Gamble
HOR-2015-KT-009;0.56158478;0.485922632;2;7;A;28/10/2015;Amandine Gamble
HOR-2015-KT-039;0.423984607;0.348322458;2;7;B;28/10/2015;Amandine Gamble
HOR-2015-KT-011;0.406892995;0.331230846;2;7;C;28/10/2015;Amandine Gamble
HOR-2015-KT-037;1.086835833;1.011173685;2;7;D;28/10/2015;Amandine Gamble
HOR-2015-KT-070;0.28450691;0.208844762;2;7;E;28/10/2015;Amandine Gamble
HOR-2015-KT-078;0.401426216;0.325764067;2;7;F;28/10/2015;Amandine Gamble
6126278;0.303406459;0.22774431;2;7;G;28/10/2015;Amandine Gamble
4186269;2.243017081;2.167354933;2;7;H;28/10/2015;Amandine Gamble
HOR-2015-KT-012;0.819723133;0.744060985;2;8;A;28/10/2015;Amandine Gamble
HOR-2015-KT-027;0.559161332;0.483499184;2;8;B;28/10/2015;Amandine Gamble
HOR-2015-KT-025;0.294281479;0.21861933;2;8;C;28/10/2015;Amandine Gamble
HOR-2015-KT-076;0.184428402;0.108766254;2;8;D;28/10/2015;Amandine Gamble
HOR-2015-KT-053;0.249313449;0.173651301;2;8;E;28/10/2015;Amandine Gamble
HOR-2015-KT-081;0.342808315;0.267146166;2;8;F;28/10/2015;Amandine Gamble
6126280;0.321173782;0.245511634;2;8;G;28/10/2015;Amandine Gamble
4186283;3.184108793;3.108446645;2;9;H;28/10/2015;Amandine Gamble
HOR-2015-KT-012;0.829496605;0.753834457;2;9;A;28/10/2015;Amandine Gamble
HOR-2015-KT-027;0.644187296;0.568525148;2;9;B;28/10/2015;Amandine Gamble
HOR-2015-KT-025;0.366952694;0.291290546;2;9;C;28/10/2015;Amandine Gamble
HOR-2015-KT-076;0.273039642;0.197377494;2;9;D;28/10/2015;Amandine Gamble
HOR-2015-KT-053;0.354426793;0.278764644;2;9;E;28/10/2015;Amandine Gamble
HOR-2015-KT-081;0.294668166;0.219006018;2;9;F;28/10/2015;Amandine Gamble
6126280;0.410889048;0.3352269;2;9;G;28/10/2015;Amandine Gamble
4186283;3.494130714;3.418468566;2;10;H;28/10/2015;Amandine Gamble
HOR-2015-KT-041;0.298512403;0.222850255;2;10;A;28/10/2015;Amandine Gamble
HOR-2015-KT-063;0.753035183;0.677373035;2;10;B;28/10/2015;Amandine Gamble
HOR-2015-KT-003;0.489780555;0.414118407;2;10;C;28/10/2015;Amandine Gamble
HOR-2015-KT-001;0.284934376;0.209272227;2;10;D;28/10/2015;Amandine Gamble
HOR-2015-KT-077;0.231518794;0.155856645;2;10;E;28/10/2015;Amandine Gamble
HOR-2015-KT-079;1.379963773;1.304301624;2;10;F;28/10/2015;Amandine Gamble
6126284;1.071344509;0.995682361;2;10;G;28/10/2015;Amandine Gamble
4186266;2.406551247;2.330889099;2;11;H;28/10/2015;Amandine Gamble
HOR-2015-KT-041;0.570479225;0.494817077;2;11;A;28/10/2015;Amandine Gamble
HOR-2015-KT-063;0.655286891;0.579624742;2;11;B;28/10/2015;Amandine Gamble
HOR-2015-KT-003;0.55719024;0.481528091;2;11;C;28/10/2015;Amandine Gamble
HOR-2015-KT-001;0.334217599;0.25855545;2;11;D;28/10/2015;Amandine Gamble
HOR-2015-KT-077;0.288704364;0.213042215;2;11;E;28/10/2015;Amandine Gamble
HOR-2015-KT-079;1.65417695;1.578514801;2;11;F;28/10/2015;Amandine Gamble
6126284;1.116684238;1.041022089;2;11;G;28/10/2015;Amandine Gamble
4186266;2.534670186;2.459008038;2;12;H;28/10/2015;Amandine Gamble
4186284;3.265073592;3.189411444;2;12;A;28/10/2015;Amandine Gamble
4186284;3.560774754;3.485112606;2;12;B;28/10/2015;Amandine Gamble
