campaign;country;site;species;individual_id;sample_id;sample_type;sampler
2014;Norway;Hornoya;Rissa tridactyla;6169404;6169404;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6169408;6169408;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6197514;6197514;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6223322;6223322;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6223453;6223453;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6223516;6223516;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235052;6235052;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235072;6235072;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235127;6235127;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235314;6235314;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235316;6235316;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235318;6235318;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235321;6235321;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235322;6235322;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235323;6235323;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235324;6235324;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235326;6235326;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235327;6235327;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235328;6235328;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235329;6235329;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235330;6235330;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235331;6235331;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235332;6235332;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235333;6235333;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235335;6235335;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;6235336;6235336;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;69????????KT;69????????KT;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;82??????KT;82??????KT;plasma;Jeremy Tornos
2014;Norway;Hornoya;Rissa tridactyla;MA23072;MA23072;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4106477;4106477;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4106540;4106540;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4220625;4220625;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4220626;4220626;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4220627;4220627;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4220628;4220628;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4220633;4220633;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4220636;4220636;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4220643;4220643;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4220647;4220647;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4220738;4220738;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4250435;4250435;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4250454;4250454;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4250461;4250461;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4250470;4250470;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4255243;4255243;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4255246;4255246;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4255250;4255250;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4259240;4259240;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4269067;4269067;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4269074;4269074;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4269075;4269075;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4269076;4269076;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4269077;4269077;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4269078;4269078;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4269089;4269089;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4269092;4269092;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4271775;4271775;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4271776;4271776;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4271777;4271777;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4271778;4271778;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4271782;4271782;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4271783;4271783;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4271784;4271784;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4271785;4271785;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4271786;4271786;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4271787;4271787;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4271788;4271788;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;4271789;4271789;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;JJ??????TM;JJ??????TM;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;JK??????TM;JK??????TM;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;JN??????TM;JN??????TM;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;JO??????TM;JO??????TM;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;JX??????TM;JX??????TM;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;SI??????TM;SI??????TM;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;SK???????TM;SK???????TM;plasma;Jeremy Tornos
2014;Norway;Hornoya;Uria lomvia;SY??????TM;SY??????TM;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126272;6126272;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126273;6126273;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126274;6126274;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126275;6126275;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126276;6126276;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126277;6126277;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126278;6126278;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126279;6126279;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126280;6126280;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126282;6126282;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126283;6126283;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126284;6126284;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126285;6126285;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126286;6126286;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126287;6126287;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126288;6126288;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126289;6126289;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126290;6126290;plasma;Jeremy Tornos
2014;Norway;Ossian;Rissa tridactyla;6126291;6126291;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186266;4186266;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186267;4186267;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186268;4186268;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186269;4186269;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186270;4186270;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186271;4186271;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186272;4186272;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186273;4186273;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186274;4186274;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186275;4186275;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186276;4186276;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186277;4186277;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186280;4186280;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186281;4186281;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186282;4186282;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186283;4186283;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186284;4186284;plasma;Jeremy Tornos
2014;Norway;Ossian;Uria lomvia;4186285;4186285;plasma;Jeremy Tornos
